No,Item,HargaSatuan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
1,p/w ori,23000,135,152,148,136,161,155,169,163,129,160,200,160
2,p/w banut,29000,485,500,481,492,485,498,672,789,767,811,719,619
3,p/w strawberry,26000,183,181,169,204,200,195,213,237,255,295,268,265
4,p/w straw cheese,23000,306,380,290,285,429,230,539,545,376,517,511,481
5,p/w blue cheese,23000,250,287,295,270,300,291,323,376,347,395,427,343
6,p/w caramel banana,26000,65,79,70,89,98,70,78,59,115,116,174,136
7,p/w oreo cream,29000,480,510,493,500,490,494,648,709,630,856,788,751
8,p/w chocomaltine,29000,268,250,264,245,295,263,336,377,401,419,474,422
9,p/w superchoco,29000,250,278,230,341,275,295,297,348,330,380,372,311
10,p/w mango peach,30000,75,89,120,87,81,97,175,146,190,197,174,141
11,p/w green tea kitkat,25000,40,54,39,32,58,55,45,88,66,71,50,72
12,p/w lotus crumble,30000,9,25,14,11,29,15,37,217,107,35,114,191
13,p/w banana raisin,27000,18,18,18,18,18,18,25,44,23,25,0,0
14,p/w blue roll,30000,28,21,34,29,41,48,38,49,52,43,39,41
15,p/w straw roll,30000,9,19,12,26,11,9,28,20,20,34,18,13
16,pancake tower,90000,2,6,8,7,1,9,2,3,6,5,3,4
17,ice cream 2 scoop,22000,0,0,0,0,0,0,0,0,37,223,146,89
18,banana split,35000,0,0,0,0,0,0,0,0,5,47,23,3
19,tropicana smile,35000,0,0,0,0,0,0,0,0,11,54,21,6
20,tripple deadly sins,30000,0,0,0,0,0,0,0,0,6,91,41,14
21,mix platter,27000,0,0,0,0,0,0,0,32,80,167,33,0
22,nachos,23000,8,13,26,17,29,23,39,52,32,28,36,25
23,french fries,20000,182,186,199,204,211,187,269,344,317,362,344,290
24,beef fries,23000,21,26,19,48,38,50,49,56,50,46,62,40
25,cheesy fries,20000,45,40,65,62,59,54,105,131,137,108,101,100
26,potato wedges,23000,78,86,110,95,125,98,150,210,154,196,155,157
27,beef wedges,25000,20,26,39,36,29,32,47,58,38,36,54,46
28,cheesy wedges,27000,34,39,49,43,45,51,78,102,89,93,92,65
29,aglio-olio,28000,130,128,138,131,135,137,134,140,111,114,134,117
30,bolognese,28000,76,88,110,97,91,82,96,106,107,109,105,82
31,carbonara,28000,135,129,154,149,145,157,117,170,155,164,188,161
32,nasi gila,27000,42,58,48,60,61,54,32,19,31,32,21,23
33,nasi goreng gila,31000,55,66,51,61,71,62,87,54,44,60,93,36
34,mie goreng kompleks,30000,15,11,20,16,19,28,0,8,4,1,2,2
35,nasi goreng kompleks,30000,70,69,95,74,83,90,41,35,29,32,16,10
36,rice bowl yakiniku,32000,0,0,0,0,0,0,0,37,32,66,30,25
37,rice bowl carbonara,32000,0,0,0,0,0,0,0,39,31,12,5,12
38,nasi goreng cumi,30000,5,9,4,12,3,9,8,0,1,1,0,0
39,nasi cumi aiola,29000,16,10,25,18,28,24,13,0,0,5,0,0
40,crazy patty,27000,24,18,32,21,39,32,0,22,14,10,8,0
41,p/w boba cream,25000,45,54,69,74,0,98,0,0,0,0,0,0
